id,phase1_dps,phase2_dps,phase3_dps,FK_player_id
1,39408.76,34437.41,32287.74,Fliessa.5386
2,26441.95,29225.53,28728.16,DieJenny.9754
3,37448.5,43767.88,31764.79,Timmii Duesentrieb.9061
4,15529.89,17634.2,15003.58,oPeet.1702
5,37606.5,45897.29,40222.74,Louv.4903
6,4246.73,2958.9,3202.15,Danel.8573
7,33120.0,29122.94,28383.58,Angefraggt.9651
8,32406.24,29107.65,27671.7,Entity Of Sin.1859
9,22082.22,18269.1,16966.01,CuChullaInn.5468
10,45614.06,44304.9,45193.85,PressXToDash.3194
11,15726.56,16351.06,8309.64,Wasaabii.4605
12,1537.02,1920.44,1676.79,Jetterson.8547
13,17709.09,17800.65,7402.14,jakobtrygg.1463
14,15193.86,13584.34,242.5,Maartje.2618
15,5296.31,11177.48,748.21,Summus deus.8736
16,1937.02,1490.06,1433.57,ETS Green.6153
17,17698.3,11431.98,5121.25,adam pyre.2789
18,13842.67,11493.79,4329.64,TheJuste.9743
19,15425.1,14786.59,1595.54,OliOliOxenFree.7814
20,17250.38,13364.71,1585.54,Nyter.1270
21,2176.83,2418.71,1855.37,eris.9654
22,17364.08,20396.05,19198.83,Ruthless.6521
23,39031.47,39727.11,42016.83,anorange.1056
24,44958.79,33693.52,25311.39,Seringar.7954
25,43608.68,46074.26,45430.28,Monkey Monk.5768
26,39709.28,43998.63,41266.09,Ranging Bowman.8346
27,41902.83,42783.67,42980.18,Mister Prime.1357
28,4141.21,4821.72,4692.81,acumen.1980
29,20026.19,20450.86,23253.63,Xilicks.9547
30,39945.13,43466.17,43323.59,Remysama.1045
31,1774.92,1897.4,1575.57,MikiSayaka.4163
32,37201.81,35905.65,46667.03,Kurow.6973
33,19707.93,19600.18,21390.66,Bochero.6519
34,13211.58,18149.52,19818.35,Dark Lurker.2781
35,10435.26,26324.11,40738.2,GlobalReverse.8543
36,7002.59,8656.19,10656.27,Compendium II.1390
37,26179.72,28561.36,30668.86,CloakedMoose.7428
38,15712.62,17210.82,20977.25,Shirobako.4937
39,30168.83,29398.46,42464.02,DarkstarChimaera.5120
40,37141.01,36615.89,37051.36,UntitledDoc.3479
41,25765.44,20841.42,23787.33,ELXiLeF.1572
42,2430.1,2482.16,2516.03,Chris.6897
43,32824.85,31703.41,35686.5,giovannimartino.8615
44,35096.87,23625.88,36860.17,Eternal.4789
45,15368.44,12423.32,18086.6,Lucifure.9326
46,12011.53,8051.11,7714.77,danye.9672
47,38018.99,34004.6,41871.9,KitKat.5374
48,20825.96,18061.22,27178.47,one.4526
49,34516.71,33641.28,41222.97,blackicedragon.3579
50,35783.09,34713.38,46161.3,Naro.4930
51,6840.8,4317.32,5515.38,Cheese.6352
52,30451.58,29068.52,31112.76,Emrakul.3924
53,33667.01,30570.03,31225.67,Nirvash.1836
54,39212.84,41845.96,45409.29,Frank.5183
55,22810.6,19864.01,29589.12,HelloWorld.9624
56,36056.09,38776.27,36493.65,Powermath.8279
57,7894.28,6994.25,11093.33,Metallis.6105
58,4300.92,4992.14,5321.45,Bisck.7861
59,26477.76,29988.1,27110.94,fohtoh.2640
60,22342.79,23539.91,25588.29,bakedoreo.1075
61,2743.96,3041.05,2648.58,eris.9654
62,46390.94,47763.24,46904.36,Mister Prime.1357
63,0.0,0.0,0.0,anorange.1056
64,33150.39,37099.49,37070.49,Ranging Bowman.8346
65,17707.92,16131.71,15162.99,Ruthless.6521
66,26691.06,22506.16,25967.91,Monkey Monk.5768
67,4422.54,5536.22,6216.86,acumen.1980
68,34670.94,35174.03,34022.73,Seringar.7954
69,40981.72,43190.54,23495.96,Remysama.1045
70,26453.44,25015.14,28501.77,Xilicks.9547
71,25441.92,25247.17,24654.54,Mo Gainz.2039
72,2089.62,1914.88,756.71,mirrorcle.5709
73,19030.92,13910.19,14912.38,Middy.5240
74,29383.95,21329.84,25648.67,RyuDragnier.9476
75,36471.43,35290.49,47800.18,Red Maddness.2690
76,34271.7,34042.18,47797.42,Korakinos.3128
77,6310.59,4485.42,5781.07,rowanne.5012
78,22653.89,23250.0,24258.64,Ben.3610
79,21244.81,25422.83,23957.31,Gailen.2547
80,13101.68,14437.04,10346.5,Chief.7143
81,8648.94,5727.1,10280.51,Feria.9685
82,43837.92,41562.2,37196.19,monstar.5934
83,20113.2,22948.53,23261.28,Ryumi.5102
84,43619.08,42681.08,38125.16,mahasona.1945
85,26152.64,27942.43,29051.98,Jenny.2347
86,32918.84,33370.77,39807.0,waterwar.8240
87,38668.42,44111.16,47511.21,Nuia.2513
88,43871.94,41954.17,45405.71,Radiant.9417
89,3849.89,6217.07,6397.66,ZliDe.2594
90,18291.02,20508.88,19296.89,wolfgang.1902
91,10636.15,16432.02,19676.41,Kanelao.1583
92,37401.7,31579.38,41421.57,Dansa.1860
93,40760.19,34924.92,40594.55,Erestron.5284
94,23175.47,22864.84,12972.74,Zacharion.8614
95,6769.19,5987.39,5438.34,Maze.6739
96,20088.81,16887.2,14358.23,Fliessa.5386
97,32528.79,34796.37,35562.91,NotThisGamePLS.6589
98,24465.44,25018.98,17463.32,Kogut.7895
99,2699.22,2640.56,2376.43,alphawookie.2463
100,6774.42,6431.72,8451.68,casjopea.7139
101,18463.01,18303.66,19483.85,Bloodseeker.2043
102,2049.55,1744.96,1700.85,hierpiepts.5241
103,25660.25,20419.94,21313.05,GsusOD.3761
104,23535.37,22307.23,23689.89,Skrillor.3279
105,22138.79,21611.9,21397.97,Delusion.9104
106,40199.27,42766.69,45551.21,Mewone.3247
107,17250.56,17442.07,19605.27,RevanAC.1293
108,2107.98,2724.47,2297.72,Linaith.2375
109,38076.69,40884.7,42285.22,Feary.8740
110,25662.67,23268.27,21053.35,Max Zero.2167
111,2262.89,1256.0,212.62,can.6304
112,8229.93,6827.11,0.0,HuNTeR.5690
113,3986.8,3174.0,1563.69,jacanaro.9512
114,2285.73,1645.59,100.58,seb.4073
115,23197.84,22980.0,0.0,Xtrem.4931
116,32275.69,31515.74,4498.16,Snow.4017
117,2552.0,1717.3,19.51,Fearis.8643
118,28229.49,27609.57,0.58,Ssalg.1205
119,19800.87,20308.95,133.4,yayuuu.9420
120,44084.73,35156.58,375.05,Arkadia.9432
121,39994.23,44834.85,45382.49,Frigid.3456
122,16339.89,17808.86,16565.85,Shinobi Monkeys.2683
123,20720.45,21391.77,21032.96,hg awal.5438
124,22970.22,20866.32,21861.74,Hakawne.8756
125,2273.26,5040.78,5224.81,Kye.5240
126,29420.64,30869.97,31011.81,Ryuzlin.1587
127,22708.58,18149.04,18201.55,vere.4935
128,4066.46,3661.44,3972.18,Nuunes.5046
129,24800.89,30419.85,6594.41,Hooopso.9873
130,25284.23,25899.7,20198.0,GoobyWezHree.3720
131,3504.05,3140.65,2926.28,Belmur.8596
132,34953.06,28940.31,26884.11,Earth Hidden.8253
133,22637.66,22617.88,13522.29,ByteA.6893
134,37542.52,34334.59,34683.91,Miyuki.6827
135,15278.86,12478.87,13597.58,schulzki.1862
136,6337.0,5784.79,3255.78,LincoHd.4597
137,30457.18,27379.09,25435.26,SmileJr.8159
138,28233.21,24054.76,27519.11,Hatless.8354
139,35485.89,34141.76,31477.47,GHOST.5780
140,12749.55,14879.77,18074.79,Tapsi.9864
141,5123.68,2566.96,2635.58,yojimbo.6821
142,17213.68,20260.88,13257.67,Legacy.3608
143,5098.92,9628.45,0.0,Ruby.4713
144,8519.2,7881.35,0.47,CreationP.2058
145,15676.42,16136.24,303.72,Eiskalt.5946
146,9636.46,8682.82,338.14,ocean.4027
147,30116.5,30848.61,8937.21,Garion.9874
148,2593.8,3255.9,967.44,Rencobog.6975
149,26259.82,25208.41,398.37,Rouky.3751
150,34794.0,39035.24,15286.51,BlessedBigBoi.5324
151,1759.52,3443.76,758.63,VanSell.9713
152,17987.88,8026.67,1811.1,Nanileyes.2395
153,15876.83,11241.64,149.59,Azlirus.9034
154,29305.19,29441.58,6097.12,Rhomulos.2089
155,29909.69,30295.49,4556.99,Florian.6734
156,2378.1,374.53,710.14,dynamogg.4750
157,23996.21,19826.44,11.23,Sixmb.9234
158,15635.64,12678.79,3467.12,Apnesia.8635
159,28861.74,21297.05,51.23,Marcekk.3945
160,13165.33,15002.79,3152.88,takashi.5902
161,2129.72,1829.01,2889.81,Nkio.3078
162,24324.15,17973.82,22734.88,Hikikomori.3497
163,12009.18,14308.47,14152.63,Hukabuba.4107
164,22107.44,18889.49,23990.93,Artteon.9561
165,38264.57,42677.74,45019.21,Claire.8079
166,36086.59,30376.91,39759.81,Skybud.5294
167,39321.25,43642.07,47281.53,HawkAlmighty.1057
168,3228.21,3257.42,2964.41,Aralis.7249
169,17778.38,16131.56,20618.08,Darane.1629
170,21054.09,18050.11,18866.33,geronimo.8054
171,23448.59,20285.25,22054.96,gabe.5123
172,16007.55,17119.26,20697.16,Ithyphallophobie.5708
173,6164.78,5842.6,6152.05,Statur.9785
174,34135.24,35014.78,43619.31,Kaelezar.4638
175,17662.74,12278.55,13227.93,Malroth.4529
176,29071.3,27923.54,28088.36,Aeom.6708
177,5927.64,4874.25,4331.99,Zaratusa.7615
178,21946.77,20320.68,5160.54,Maximillion.3425
179,33169.91,38545.43,34030.97,Crucey.9486
180,36805.1,41227.05,40580.31,DonCapitano.2390
181,5780.64,5792.0,0.0,Sersch.1326
182,26647.78,15518.1,0.0,sua cuique persona.8439
183,26970.82,24512.03,0.0,MPropper.7861
184,42840.38,40673.34,1429.65,Warlock.7684
185,32324.15,30233.11,0.0,inu.8734
186,19017.57,1199.27,0.0,icke.6453
187,22637.95,6729.83,0.0,Don.9705
188,17808.42,11151.71,0.0,xTaddelx.9651
189,22508.89,21077.95,5064.04,Arashid.7943
190,11313.22,7638.29,5479.12,StealPaP.4765
191,34057.85,31365.57,36858.75,tauntt.6438
192,35947.28,28322.75,37240.94,Singularity.6058
193,21251.91,17413.69,20727.83,cozyboy.1860
194,5424.06,4027.45,2838.42,Hazael.4796
195,18754.17,15717.13,18262.93,scrubdidada.7395
196,1727.61,1442.08,1708.24,Retzu.1364
197,42834.17,37958.84,41532.37,Mister Prime.1357
198,15839.46,18475.64,19804.16,Kaiser.3106
199,15877.5,15311.24,17949.64,TheDarkInside.7568
200,15173.87,19227.9,19621.43,Toxon.3865
201,12574.85,12114.67,14778.37,Ceron.4730
202,4428.17,4616.44,6862.88,Hawkeye.4580
203,20183.23,17025.87,21510.8,Pixie.1982
204,18726.77,19789.29,12902.88,Shasca.2809
205,27714.02,28503.86,33621.53,NoPainNoGain.2308
206,31687.74,32120.03,33892.88,Don rOx.7160
207,41641.02,40375.87,38532.9,Desruc.1295
208,3644.61,2828.72,3337.49,koiikayla.7142
209,22403.61,22592.07,25470.21,Petah.1632
210,23562.64,20007.72,26386.92,TheLastHuntress.6104
211,16283.98,11560.79,19763.2,Lojiin.8109
212,23272.5,25420.2,32572.6,zakkles.4158
213,4760.55,3493.81,3870.86,glasseye.7365
214,29356.04,31578.63,35852.99,Shrines.1352
